Wavelength nm.,Blank_1 - RawData,Blank_2 - RawData,DHL_1 - RawData,DHL_2 - RawData,DHL_3 - RawData,PON2_1 - RawData,PON2_2 - RawData,PON2_3 - RawData,DtP_1 - RawData,DtP_2 - RawData,DHL_PON2_1 - RawData,NaOH_1 - RawData,DHL_NaOH_1 - RawData,DHL_NaOH_2 - RawData,DHL_NaOH_3 - RawData
283,-0.01768,-0.00327,0.40758,0.41696,0.41701,-0.02352,-0.02259,-0.02142,0.38979,0.37097,0.35383,-0.01299,1.03722,1.05656,1.04243
284,-0.01226,0.00126,0.35777,0.36563,0.36636,-0.01679,-0.01673,-0.01518,0.34234,0.32332,0.30519,-0.00534,1.34189,1.36557,1.35024
285,-0.00631,0.00563,0.29203,0.29941,0.29873,-0.0109,-0.0111,-0.00924,0.2808,0.26167,0.24897,0.00058,1.63441,1.63684,1.64575
286,-0.00089,0.01017,0.236,0.24173,0.24119,-0.00512,-0.00565,-0.0042,0.22789,0.2121,0.20144,0.00517,1.88351,1.88905,1.89984
287,0.00525,0.01383,0.19296,0.1972,0.19617,0.00057,0.00034,0.0015,0.18716,0.17423,0.16488,0.00959,2.0763,2.10262,2.08916
288,0.01044,0.01786,0.15942,0.16209,0.1611,0.00568,0.00558,0.00669,0.15548,0.14466,0.13684,0.01456,2.23109,2.27132,2.24886
289,0.01488,0.02122,0.13194,0.13406,0.13229,0.01027,0.0103,0.01125,0.12979,0.12014,0.11341,0.0186,2.34877,2.38432,2.36672
290,0.01736,0.02353,0.1068,0.10816,0.10616,0.01305,0.01323,0.01392,0.10611,0.09777,0.09191,0.02088,2.44365,2.45861,2.46133
291,0.01744,0.02346,0.08251,0.08319,0.081,0.0131,0.01364,0.01388,0.0825,0.07556,0.07087,0.02011,2.51945,2.53832,2.53942
292,0.01533,0.02162,0.06123,0.06095,0.05861,0.01157,0.01182,0.01223,0.06133,0.056,0.0522,0.01811,2.61062,2.63776,2.63144
293,0.01311,0.01934,0.04568,0.04471,0.04217,0.00968,0.00982,0.01049,0.04539,0.04184,0.03848,0.01613,2.72377,2.78278,2.75058
294,0.01285,0.01889,0.03789,0.03654,0.03357,0.01026,0.00997,0.01062,0.03744,0.03503,0.03192,0.01634,2.87227,2.9335,2.90178
295,0.0143,0.01958,0.03519,0.03388,0.03034,0.01216,0.01167,0.0123,0.03464,0.03285,0.02975,0.01765,3.0188,3.08627,3.06948
296,0.01657,0.0213,0.0355,0.03417,0.03043,0.01501,0.01417,0.01494,0.03488,0.03315,0.03019,0.02002,3.1094,3.21621,3.20695
297,0.01857,0.02276,0.03635,0.03498,0.03098,0.01712,0.01633,0.01722,0.0355,0.03392,0.031,0.02203,3.09981,3.29671,3.26853
298,0.02062,0.02455,0.03765,0.03626,0.03214,0.0194,0.01868,0.01947,0.03663,0.03509,0.03227,0.02417,2.96873,3.28823,3.21629
299,0.02209,0.02571,0.0384,0.03708,0.03273,0.02104,0.02028,0.02109,0.0372,0.03564,0.03303,0.02562,2.74938,3.14965,3.04457
300,0.02238,0.02577,0.03813,0.0368,0.0324,0.02159,0.02081,0.02173,0.03665,0.03526,0.03273,0.02583,2.46153,2.86495,2.75951
301,0.02211,0.02546,0.03728,0.03603,0.03159,0.02153,0.02075,0.02178,0.03565,0.03423,0.03201,0.02562,2.16383,2.54222,2.43861
302,0.02172,0.02509,0.03631,0.0351,0.03072,0.0214,0.02054,0.02153,0.03442,0.03316,0.03101,0.02522,1.87379,2.21133,2.11652
303,0.02206,0.02539,0.0361,0.03494,0.03056,0.02185,0.02098,0.02186,0.03402,0.03274,0.03078,0.02566,1.60591,1.90043,1.81702
304,0.02231,0.02561,0.03594,0.03471,0.03033,0.02217,0.02125,0.02214,0.03346,0.03232,0.0303,0.02589,1.36128,1.61397,1.54139
305,0.02252,0.02576,0.03569,0.03451,0.03005,0.02235,0.02149,0.02236,0.03298,0.03183,0.03002,0.02608,1.14418,1.35819,1.29637
306,0.02255,0.02583,0.03538,0.03421,0.02974,0.02248,0.02164,0.02246,0.03249,0.03134,0.02961,0.02621,0.95437,1.13479,1.08176
307,0.02264,0.02583,0.035,0.03389,0.02943,0.02253,0.02176,0.02246,0.03204,0.03094,0.02924,0.0263,0.78922,0.93971,0.89445
